,Airport,City,Country,Code
459,Varkaus Airport,Varkaus,Finland,VRK
460,Ylivieska Airfield,Ylivieska-raudaskyla,Finland,YLI
461,Belfast International Airport,Belfast,United Kingdom,BFS
462,St Angelo Airport,Enniskillen,United Kingdom,ENK
463,George Best Belfast City Airport,Belfast,United Kingdom,BHD
464,City of Derry Airport,Londonderry,United Kingdom,LDY
465,Birmingham International Airport,Birmingham,United Kingdom,BHX
466,Coventry Airport,Coventry,United Kingdom,CVT
468,Gloucestershire Airport,Golouchestershire,United Kingdom,GLO
470,Cotswold Airport,Pailton,United Kingdom,GBA
473,Manchester Airport,Manchester,United Kingdom,MAN
476,Newquay Cornwall Airport,Newquai,United Kingdom,NQY
477,RAF Lyneham,Lyneham,United Kingdom,LYE
481,RNAS Yeovilton,Yeovilton,United Kingdom,YEO
482,Haverfordwest Airport,Haverfordwest,United Kingdom,HAW
483,Cardiff International Airport,Cardiff,United Kingdom,CWL
484,Swansea Airport,Swansea,United Kingdom,SWS
485,Bristol Airport,Bristol,United Kingdom,BRS
486,Liverpool John Lennon Airport,Liverpool,United Kingdom,LPL
487,London Luton Airport,London,United Kingdom,LTN
488,Plymouth City Airport,Plymouth,United Kingdom,PLH
489,Bournemouth Airport,Bournemouth,United Kingdom,BOH
490,Southampton Airport,Southampton,United Kingdom,SOU
491,Lasham Airport,Lasham,United Kingdom,QLA
492,Alderney Airport,Alderney,Guernsey,ACI
493,Guernsey Airport,Guernsey,Guernsey,GCI
494,Jersey Airport,Jersey,Jersey,JER
495,Shoreham Airport,Shoreham By Sea,United Kingdom,ESH
496,London Biggin Hill Airport,Biggin Hill,United Kingdom,BQH
497,London Gatwick Airport,London,United Kingdom,LGW
498,London City Airport,London,United Kingdom,LCY
499,Farnborough Airport,Farnborough,United Kingdom,FAB
501,Blackbushe Airport,Blackbushe,United Kingdom,BBS
502,London Heathrow Airport,London,United Kingdom,LHR
503,Southend Airport,Southend,United Kingdom,SEN
504,Lydd Airport,Lydd,United Kingdom,LYX
505,Kent International Airport,Manston,United Kingdom,MSE
507,Carlisle Airport,Carlisle,United Kingdom,CAX
509,Blackpool International Airport,Blackpool,United Kingdom,BLK
510,Humberside Airport,Humberside,United Kingdom,HUY
511,Barrow Walney Island Airport,Barrow Island,United Kingdom,BWF
512,Leeds Bradford Airport,Leeds,United Kingdom,LBA
513,Warton Airport,Warton,United Kingdom,WRT
514,Hawarden Airport,Hawarden,United Kingdom,CEG
515,Isle of Man Airport,Isle Of Man,Isle of Man,IOM
516,Newcastle Airport,Newcastle,United Kingdom,NCL
517,Durham Tees Valley Airport,Teesside,United Kingdom,MME
518,East Midlands Airport,East Midlands,United Kingdom,EMA
523,Kirkwall Airport,Kirkwall,United Kingdom,KOI
