iata,name,city,city_norm,country,continent,type,lat,lon
TRZ,Tiruchirappalli International Airport,Tiruchirappalli,tiruchirappalli,IN,AS,large_airport,10.762915,78.717741
TIR,Tirupati International Airport,Tirupati,tirupati,IN,AS,large_airport,13.631988,79.539869
TIV,Tivat Airport,Tivat,tivat,ME,EU,medium_airport,42.404701,18.723301
TMM,Toamasina Ambalamanasy Airport,Toamasina,toamasina,MG,AF,large_airport,-18.113537,49.392262
RMZ,Tobolsk Remezov Airport,Tobolsk,tobolsk,RU,AS,medium_airport,58.059712,68.347997
PTY,Tocumen International Airport,Tocumen,tocumen,PA,NA,large_airport,9.07136,-79.383499
YAZ,Tofino / Long Beach Airport,Tofino,tofino,CA,NA,medium_airport,49.079833,-125.775583
TJK,Tokat Airport,Tokat,tokat,TR,AS,medium_airport,40.32472,36.39056
NGO,Chubu Centrair International Airport,Tokoname,tokoname,JP,AS,large_airport,34.858398,136.804993
TKS,Tokushima Awaodori Airport / JMSDF Tokushima Air Base,Tokushima,tokushima,JP,AS,large_airport,34.132559,134.607816
NRT,Narita International Airport,Tokyo,tokyo,JP,AS,large_airport,35.76858,140.388714
FTU,Tôlanaro Airport,Tôlanaro,tolanaro,MG,AF,medium_airport,-25.038099,46.9561
TOL,Eugene F. Kranz Toledo Express Airport,Toledo,toledo,US,NA,medium_airport,41.5868,-83.8078
TLE,Toliara Airport,Toliara,toliara,MG,AF,medium_airport,-23.3834,43.7285
TLC,Adolfo López Mateos International Airport,Toluca,toluca,MX,NA,large_airport,19.3369,-99.56583
TOF,Tomsk Kamov Airport,Tomsk,tomsk,RU,AS,large_airport,56.380299,85.208298
BOR,Bokeo International Airport,Ton Phueng,ton phueng,LA,AS,medium_airport,20.323986,100.165392
TNH,Tonghua Sanyuanpu Airport,Tonghua,tonghua,CN,AS,medium_airport,42.048435,125.733963
TGO,Tongliao Airport,Tongliao,tongliao,CN,AS,medium_airport,43.556702,122.199997
TEN,Tongren Fenghuang Airport,Tongren (Daxing),tongren (daxing),CN,AS,medium_airport,27.883333,109.308889
WTB,Toowoomba Wellcamp Airport,Toowoomba,toowoomba,AU,OC,large_airport,-27.558332,151.793335
TRT,Toraja Airport,Toraja,toraja,ID,AS,medium_airport,-3.185833,119.91775
YYZ,Toronto Pearson International Airport,Toronto,toronto,CA,NA,large_airport,43.675935,-79.629421
TRC,Francisco Sarabia Tinoco International Airport,Torreón,torreon,MX,NA,medium_airport,25.562265,-103.404608
TYF,Torsby Airport,Torsby,torsby,SE,EU,medium_airport,60.1576,12.9913
TTJ,Tottori Sand Dunes Conan Airport,Tottori,tottori,JP,AS,medium_airport,35.530058,134.165023
TGR,Touggourt Sidi Madhi Airport,Touggourt,touggourt,DZ,AF,medium_airport,33.067799,6.08867
TOU,Touho Airport,Touho,touho,NC,OC,medium_airport,-20.790127,165.259524
TLS,Toulouse-Blagnac Airport,Toulouse/Blagnac,toulouse/blagnac,FR,EU,large_airport,43.629101,1.36382
TUF,Tours Val de Loire Airport,"Tours, Indre-et-Loire","tours, indre-et-loire",FR,EU,medium_airport,47.432201,0.727606
TSV,Townsville Airport / RAAF Base Townsville,Townsville,townsville,AU,OC,medium_airport,-19.252904,146.766512
TOY,Toyama Kitokito Airport,Toyama,toyama,JP,AS,medium_airport,36.648416,137.187359
